id,center,x,y
0,1,22.231749,113.507182
2,0,22.233367,113.508105
3,0,22.232995,113.508105
4,0,22.232878,113.507499
5,0,22.232498,113.507126
6,0,22.231987,113.506928
7,0,22.231293,113.506483
8,0,22.232301,113.508213
9,0,22.231419,113.506245
10,0,22.232033,113.508617
11,0,22.231715,113.50824
12,0,22.230955,113.506092
13,0,22.231089,113.507291
14,0,22.231531,113.508999
15,0,22.232121,113.509098
16,0,22.231665,113.506681
17,0,22.231377,113.507364
18,0,22.231143,113.506672
19,0,22.231134,113.507764
20,0,22.231402,113.50912
21,0,22.230963,113.5077
22,0,22.232866,113.508689
23,0,22.232268,113.509201
24,0,22.231904,113.506645
25,0,22.231235,113.507089
26,0,22.231084,113.507291
