id,center,x,y
0,1,22.233422,113.511415
1,0,22.233606,113.510086
2,0,22.233714,113.510796
3,0,22.233121,113.510553
4,0,22.234108,113.512107
5,0,22.233806,113.512287
6,0,22.233422,113.512062
7,0,22.232619,113.511532
8,0,22.233062,113.512098
9,0,22.232736,113.51244
10,0,22.232318,113.512206
11,0,22.232803,113.512386
12,0,22.233188,113.512718
13,0,22.232769,113.512808
14,0,22.232017,113.513077
15,0,22.23164,113.512457
16,0,22.233229,113.509367
17,0,22.232452,113.51058
18,0,22.232334,113.510984
19,0,22.232025,113.511892
20,0,22.231741,113.513158
21,0,22.233505,113.510562
