id,center,x,y
0,1,22.230708,113.509843
1,0,22.233359,113.508092
2,0,22.232698,113.507436
3,0,22.232807,113.508478
4,0,22.232238,113.507409
5,0,22.231937,113.507166
6,0,22.231603,113.507768
7,0,22.231711,113.508496
8,0,22.232037,113.508658
9,0,22.232305,113.508783
10,0,22.232431,113.509637
11,0,22.231678,113.509269
12,0,22.231996,113.51049
13,0,22.231527,113.510571
14,0,22.231109,113.510706
15,0,22.230783,113.510688
16,0,22.231753,113.511326
17,0,22.23141,113.511254
18,0,22.23126,113.512116
19,0,22.230841,113.512323
20,0,22.230239,113.511263
21,0,22.230841,113.508253
