id,center,x,y
0,1,22.231758,113.510552
2,0,22.232163,113.510489
3,0,22.232063,113.510952
4,0,22.231933,113.510687
5,0,22.231762,113.510938
6,0,22.231707,113.51022
7,0,22.231231,113.510026
8,0,22.232305,113.510983
9,0,22.231553,113.51061
10,0,22.231293,113.511001
11,0,22.231427,113.510449
12,0,22.231381,113.510098
13,0,22.230587,113.509919
14,0,22.230424,113.510588
15,0,22.231181,113.509721
16,0,22.2309,113.509308
17,0,22.231034,113.509097
18,0,22.231235,113.509043
19,0,22.231022,113.508917
20,0,22.230921,113.509308
21,0,22.230758,113.509452
22,0,22.230729,113.508715
23,0,22.230863,113.508288
24,0,22.230683,113.508477
