id,center,x,y
0,1,22.231749,113.507182
1,1,22.232732,113.509748
2,0,22.233367,113.508105
3,0,22.232995,113.508105
4,0,22.232878,113.507499
5,0,22.232498,113.507126
6,0,22.231987,113.506928
7,0,22.231933,113.508101
8,0,22.232301,113.508213
9,0,22.232799,113.508482
10,0,22.232033,113.508617
11,0,22.231715,113.50824
12,0,22.231444,113.508496
13,0,22.231301,113.508258
14,0,22.231531,113.508999
15,0,22.232121,113.509098
16,0,22.231665,113.506681
17,0,22.231377,113.507364
18,0,22.231143,113.506672
19,0,22.231134,113.507764
20,0,22.231402,113.50912
21,0,22.232903,113.508864
22,0,22.232866,113.508689
23,0,22.232268,113.509201
24,0,22.231904,113.506645
25,0,22.232552,113.508703
26,0,22.232698,113.509197
27,0,22.232493,113.509601
28,0,22.232209,113.509462
29,0,22.232284,113.510095
30,0,22.233108,113.508887
31,0,22.233087,113.509233
32,0,22.232916,113.509471
33,0,22.232694,113.510216
34,0,22.233221,113.509956
35,0,22.233397,113.508698
36,0,22.231996,113.509273
37,0,22.23215,113.509659
38,0,22.231891,113.509637
39,0,22.232314,113.51101
40,0,22.231544,113.509592
41,0,22.231406,113.509331
42,0,22.231398,113.509138
43,0,22.232293,113.510992
44,0,22.231239,113.509201
45,0,22.23251,113.51061
46,0,22.231021,113.508932
47,0,22.231874,113.509848
48,0,22.230975,113.509313
49,0,22.23195,113.509399
50,1,22.231758,113.510552
51,0,22.232163,113.510489
52,0,22.232063,113.510952
53,0,22.231933,113.510687
54,0,22.231762,113.510938
55,0,22.231707,113.51022
56,0,22.231231,113.510026
57,0,22.232305,113.510983
58,0,22.231553,113.51061
59,0,22.231293,113.511001
60,0,22.231427,113.510449
61,0,22.231381,113.510098
62,0,22.230587,113.509919
63,0,22.230424,113.510588
64,0,22.231181,113.509721
65,0,22.2309,113.509308
66,0,22.231034,113.509097
67,0,22.231235,113.509043
68,0,22.231022,113.508917
69,0,22.230921,113.509308
70,0,22.230758,113.509452
71,0,22.230729,113.508715
72,0,22.230863,113.508288
73,0,22.230683,113.508477
